t,VarX_0.1,meanX_0.1,VarX_0.3,meanX_0.3,VarX_1,meanX_1,VarX_3,meanX_3,VarA1,meanA1
1,1.96196558144011e-07,-5.88555168529508e-09,1.79633459801517e-06,-1.9513553316122e-08,2.10149830017646e-05,-9.59807086824757e-08,0.000202800582252393,-5.55285211332494e-07,1.94445050084701e-05,-5.62210927554893e-08
2,5.7880474976872e-07,-2.99064544498032e-08,5.34179701153489e-06,-9.75095704881787e-08,6.39265274299576e-05,-3.87116142907639e-07,0.00062078972769711,-9.95538902839132e-07,5.71240842743696e-05,-2.86104593179624e-07
3,1.03745180097753e-06,-3.22433846291184e-09,9.62314696654502e-06,-1.08439746445567e-08,0.000117011039638829,5.69465603509626e-08,0.00115215544592556,5.39104415005182e-07,0.000102125778405102,-2.67576975206003e-08
4,1.53761940712426e-06,6.29290814181552e-08,1.43049886758103e-05,1.84460236890738e-07,0.000175386607698764,7.62894137467239e-07,0.00175031719690868,3.57070898500933e-06,0.000151127242409214,6.46823163963494e-07
5,2.05596265340631e-06,7.79771281881681e-08,1.91714193097229e-05,2.58027823034072e-07,0.000237148265593182,1.23777852993951e-06,0.00241577341025174,5.36432160430528e-06,0.000201875862047564,7.51236584597674e-07
6,2.60547625062514e-06,8.19619132861932e-08,2.43551357465851e-05,2.51677233555151e-07,0.000303393329663287,1.06466160548068e-06,0.00314671371643738,5.07769373138446e-06,0.000255507321784214,8.23309771659048e-07
7,3.15913021270629e-06,1.25762237211643e-07,2.95577816574117e-05,3.50787606887663e-07,0.000369737870460034,1.07204423491241e-06,0.00390788940414088,2.55599997326604e-06,0.000309662523904565,1.3051541510623e-06
8,3.71995908553219e-06,1.66740790301616e-07,3.48276930864929e-05,4.69169778876452e-07,0.000437833860789586,1.3477523519813e-06,0.00469502496711311,7.42219812482817e-07,0.000364493057045359,1.72843760797729e-06
9,4.27654382940865e-06,2.63353528429994e-07,4.01222772254096e-05,7.30388315813173e-07,0.000507698903217644,2.01108758095451e-06,0.0055268439654324,6.91538311188138e-06,0.000418607796914442,2.72598125981265e-06
10,4.85919684831061e-06,2.35096807502083e-07,4.56492778763454e-05,6.39640047697078e-07,0.000578919141220189,2.15593981908699e-06,0.00640313721763078,1.24482210038434e-05,0.000475182869425159,2.44295483342593e-06
