t,VarX_0.003,meanX_0.003,VarX_0.01,meanX_0.01,VarX_0.03,meanX_0.03,VarX_0.1,meanX_0.1,VarA1,meanA1
1,4.06947700071819e-11,9.96567573100568e-10,4.52030757568037e-10,3.31974623562753e-09,4.06508865723848e-09,9.95409083388456e-09,4.51888281220251e-08,3.3172420606399e-08,4.52240887354879e-06,3.32352969615573e-07
2,1.11868445352915e-10,1.49766727918572e-09,1.24257065688529e-09,5.00089463156974e-09,1.11755318489443e-08,1.5068539265409e-08,1.2441571113253e-07,5.07765549462566e-08,1.24318334212703e-05,4.99188742476858e-07
3,1.98371580001943e-10,1.93017999197559e-09,2.20405275213341e-09,6.41470697344088e-09,1.98424358907592e-08,1.92214393018297e-08,2.21613029404679e-07,6.12147396543321e-08,2.20415858122223e-05,6.44687432768444e-07
4,2.99415347205758e-10,3.65320475012863e-09,3.32812339811777e-09,1.21714520769745e-08,3.00060325832808e-08,3.65678643250576e-08,3.36593013403768e-07,1.17792994771758e-07,3.32619573909336e-05,1.21858345104057e-06
5,4.05868836790615e-10,5.02126880413638e-09,4.51440838412109e-09,1.67538930554691e-08,4.07385917830383e-08,5.02611149602258e-08,4.5871203938768e-07,1.60096983506728e-07,4.50769624706783e-05,1.67432214467073e-06
6,5.22277070990782e-10,4.31207201929586e-09,5.80892606248938e-09,1.44402075796333e-08,5.24424103430539e-08,4.35781496056851e-08,5.91414792104458e-07,1.33095416404559e-07,5.80060369717864e-05,1.43611622475402e-06
7,6.40648367860307e-10,4.28378784260164e-09,7.12648348451247e-09,1.4287869505236e-08,6.43660788235081e-08,4.2799497498927e-08,7.27038218509376e-07,1.27770186494994e-07,7.11493182025789e-05,1.43044988715824e-06
8,7.65392641686071e-10,4.73389582925824e-09,8.51636983652744e-09,1.58137642154846e-08,7.70008002399238e-08,4.75481327681284e-08,8.73161662786419e-07,1.44949532047386e-07,8.49943183672871e-05,1.5801915011429e-06
9,8.94637911263219e-10,5.80264390394271e-09,9.95311023383651e-09,1.93966116451124e-08,8.99725029464275e-08,5.84856341664633e-08,1.01993666669326e-06,1.86206045745944e-07,9.93528641468414e-05,1.93618089072695e-06
10,1.03746131909201e-09,8.1094375005978e-09,1.15466420623126e-08,2.7104745287831e-08,1.0447348867338e-07,8.19009081944227e-08,1.18676630356339e-06,2.66964400896823e-07,0.000115196582829233,2.70219292126341e-06
11,1.18969229755493e-09,1.22162037335392e-08,1.32416421715928e-08,4.07475195368811e-08,1.19848436126257e-07,1.22866559902461e-07,1.36339529523073e-06,3.96880917616812e-07,0.000132095747701053,4.07142531720529e-06
12,1.3469790916303e-09,1.48590816299997e-08,1.49950539478135e-08,4.95465546284418e-08,1.35795897860173e-07,1.48568132603058e-07,1.54763317118964e-06,4.76854072076323e-07,0.00014954799291148,4.95431002472534e-06
